問　　　　　題,選択肢 ア,選択肢 イ,正解
Did you play baseball yesterday? - Yes, I （　　）.,did,do,ア
Did you play baseball yesterday? - No, I （　　）.,don't,didn't,イ
I （　　） English last night.,studied,study,ア
I studied English （　　）.,next week,last night,イ
Ken （　　） call Lisa yesterday.,did not,do not,ア
Ken did not （　　） Lisa yesterday.,calls,call,イ
Did you （　　） your shoes, Masashi?,wash,washing,ア
Did you wash your shoes, Masashi?　―― Yes, I （　　）.,am,did,イ
Did you wash your shoes, Masashi?　―― No, I （　　）.,am not,didn't,イ
He （　　） to Tokyo last week.,goed,went,イ
He went to Tokyo （　　） week.,last,next,ア
He （　　） go to Tokyo last week.,didn't,don't,ア
He didn't （　　） to Tokyo last week.,goes,go,イ
（　　） he go to Tokyo last week?,Did,Does,ア
Did he go to Tokyo last week?―― Yes, he （　　）.,went,did,イ
Did he go to Tokyo last week?――No, he （　　）.,doesn't,didn't,イ
What （　　） you see in the park?―― I saw beautiful flowers.,did,do,ア
What did you （　　） in the park?―― I saw beautiful flowers.,saw,see,イ
What did you see in the park?―― I （　　） beautiful flowers.,saw,seed,ア
He （　　） to Japan ten years ago.,came,comes,ア
He came to Japan ten （　　） ago.,year,years,イ
Bob （　　） e-mail to her one hour ago.,send,sent,イ
I didn't （　　） well last night.,slept,sleep,イ
I （　　） sleep well last night.,didn't,don't,ア
（　　） Tom buy a bike on the Internet? ―― Yes, he did.,Can,Did,イ
Did Tom （　　） a bike on the Internet? ―― No, he did not.,buy,bought,ア
They sing （　　）.,well,good,ア
They （　　）.,well sing,sing well,イ
This flower is （　　） beautiful.,always,very,イ
This flower is （　　）.,beautiful very,very beautiful,イ
You swim（　　）.,fast very,very fast,イ
I （　　） lunch here.,always have,have always,ア
Kate and Tom speak Japanese （　　）.,well,good,ア
I like my friends （　　）.,much very,very much,イ
The stadium is （　　）.,very big,big very,ア
They study （　　） every day.,very hard,hard very,ア
Ken （　　） always happy.,×,is,イ
Ken （　　） happy.,is always,always is,ア
I （　　） early in the morning.,always get up,get up always,ア
